mapped_class,length,width,area,perimeter,solidity,convex_hull_area,equivalent_diameter,feret_diameter,aspect_ratio,circularity
Class A,0.5229793977812995,0.6842105263157894,0.4828265366848981,0.6723771657216631,0.6988453413728748,0.5965096861408972,0.6948572059674549,0.8154000873933684,0.12305583529148488,0.30807387324359
Class A,0.683042789223455,0.5279106858054226,0.4677643324737155,0.687366678945204,0.6842290712375899,0.5902459613043718,0.6839329882917737,0.8184420504579639,0.06901577503429357,0.2855878996327312
Class A,0.4659270998415214,0.6858054226475279,0.4413452546263496,0.5927729502799041,0.8590399492532785,0.4435805995803794,0.6643382080133203,0.8188963071118773,0.1395480225988701,0.3623192061333364
Class A,0.18066561014263074,0.8022328548644337,0.3866012979284155,0.5599957809851437,0.95898210959193,0.3480649127421535,0.6217727060014903,0.8094739458771156,0.4371175523349437,0.3556177643238294
Class A,0.792393026941363,0.1850079744816587,0.3707526851248335,0.5630494120034994,0.9191197133623717,0.3482728879808663,0.6088946420562703,0.8036000637905013,0.01452650255045465,0.33735017218343333
Class A,0.8890649762282092,0.2838915470494418,0.42657352566100826,0.675677571063495,0.8125396418401911,0.4532697989368795,0.6531259646201553,0.9227267924598347,0.02318109924871491,0.26952840567099934
Class A,0.8811410459587956,0.38915470494417864,0.45601071216028566,0.7474227237125501,0.6977084507652951,0.5642979918155627,0.6752856522689384,0.920760772672539,0.035540926923332675,0.23546811088074113
Class A,0.3676703645007924,0.8851674641148325,0.42724657805990873,0.7092131087281639,0.6942541703602224,0.5313339164795909,0.6536410162007192,0.9164130824306411,0.2337863614687649,0.245027446493796
Class A,0.8779714738510301,0.33811802232854865,0.412779493864596,0.6945704681165696,0.7278780685864201,0.4896287641988977,0.642479177767339,0.9153755861805175,0.029829829829829835,0.24681703790586643
Class A,0.5419968304278923,0.32854864433811803,0.41998469691387763,0.5653744319252836,0.7158469285481397,0.506548161560059,0.6480622631459709,0.5753634905253586,0.05220818486124611,0.3790101032543429
Class A,0.3438985736925515,0.5518341307814991,0.43894352027658906,0.5448821312137051,0.7008200893614615,0.540766205247093,0.6625281279135168,0.6143052402692702,0.15286272511043153,0.426474589742009
Class A,0.5467511885895405,0.34768740031897927,0.42972624479269983,0.6014396837914346,0.6858477125217667,0.54096806356702,0.6555350828084642,0.6140804607326136,0.055207664311710564,0.3426867935091121
Class A,0.3438985736925515,0.5518341307814991,0.4423654603678408,0.5552868398413208,0.7069793247129691,0.5402340333127397,0.6651056009145021,0.6119256932557186,0.15286272511043153,0.413843461511818
Class A,0.34231378763866877,0.5550239234449761,0.443591124210049,0.5564203415535229,0.7133726030830931,0.5368758448994073,0.6660263690050485,0.6097714703103146,0.15454855777436424,0.41330104223683173
Class A,0.34231378763866877,0.5502392344497608,0.43869555360331,0.5565429789675884,0.7031044193123496,0.5387048036163224,0.662340964763097,0.6135090288179861,0.1531404676565967,0.40855964331274247
Class A,0.5293185419968305,0.5263157894736842,0.4618981494601411,0.5882774155759201,0.7454038232872954,0.5350101846697781,0.6796308920731468,0.6851801024104136,0.09137645107794364,0.38500956615458026
Class A,0.5182250396196514,0.580542264752791,0.44010542125995405,0.6324208587011309,0.6972645946279646,0.5449624115340621,0.663404417576454,0.7232000901674988,0.10408197831978322,0.3174197877314325
Class A,0.5198098256735342,0.580542264752791,0.47106583160937454,0.6178079750013603,0.7109633130526833,0.572060361754577,0.6863423574349572,0.7232000901674988,0.10373747607790162,0.35601166943915724
Class A,0.9413629160063393,0.22169059011164274,0.42660186470938305,0.7994513757512315,0.6854963570127505,0.5373101461331898,0.6531476591930673,0.948243340744218,0.01470588235294118,0.19254324669656903
Class A,0.9445324881141047,0.22169059011164274,0.43091648482443956,0.7980428404312578,0.695628802781463,0.5348389109437794,0.6564422935981803,0.9494440541129315,0.014625597121409518,0.19517776776385065
Class A,0.2202852614896989,0.9330143540669856,0.4058151727264998,0.6894704600689546,0.8276380239564218,0.42334583223738537,0.6370362412975418,0.9455072213752865,0.4170634920634922,0.24625587620962064
Class A,0.5530903328050714,0.47527910685805425,0.41223396718338196,0.5442602222223879,0.8562179024971673,0.41568744991772744,0.6420544892634752,0.7179840186118023,0.07775132275132278,0.40143962123680244
Class A,0.526148969889065,0.5582137161084529,0.44279763085555585,0.6087820424320605,0.69092838665458,0.553324239514072,0.6654304102275128,0.7205536221676186,0.09809809809809811,0.3446444360006556
Class A,0.38510301109350237,0.40669856459330145,0.37167370419701307,0.40621679902989094,0.9643743451166382,0.3327542650216233,0.609650477074375,0.5457650404338019,0.09760170006071649,0.6497341986922717
Class A,0.393026941362916,0.22169059011164274,0.3430654348626973,0.34577329706527093,0.9392129099831255,0.3153699818327512,0.5857178799240274,0.3919565409276841,0.04800684218354902,0.8277204990526424
Class A,0.43106180665610144,0.22488038277511962,0.3505965369682886,0.41809827432371016,0.9161529204850505,0.3304053682079263,0.5921119294257536,0.43195456239151603,0.043718627051960404,0.578549498718346
Class A,0.21870047543581617,0.456140350877193,0.37064641369342816,0.37591704573011636,0.9404109219679675,0.3402903089655679,0.6088073699401381,0.45217819340725873,0.201039168665068,0.7565983921461829
Class A,0.8462757527733756,0.3189792663476874,0.4102927423697112,0.6598629556910921,0.7972905997026268,0.44430851291587403,0.640540976339306,0.8971596633260075,0.02900657667012808,0.27181660791852225
Class A,0.26148969889064977,0.9441786283891547,0.4115113214498257,0.6885016788272037,0.7586531177346464,0.46832353606841165,0.6414914819776064,0.9542839344969398,0.3545850066934405,0.2504156289009613
Class A,0.9397781299524565,0.3189792663476874,0.43036387338113186,0.7726101433624172,0.672776608705283,0.5522965971580795,0.6560212446111268,0.9568142914840915,0.025205761316872435,0.2079718936168053
Class A,0.6624405705229794,0.48484848484848486,0.4470555728738629,0.6412943919436126,0.7033886969122729,0.5487487842623914,0.6686221450669002,0.7649619932771612,0.0648811102271723,0.3135712798422314
Class A,0.6735340729001585,0.48325358851674644,0.4788094765777765,0.6549856842497954,0.6736272389287031,0.6136921110098421,0.6919606033422543,0.7841494513548889,0.06342375239088856,0.3219502533803544
Class A,0.526148969889065,0.48325358851674644,0.42404426559356134,0.5400520496808235,0.8092398799383467,0.4524195472256715,0.6511868131293518,0.6825866634920428,0.0837226115003893,0.4194011401900746
Class A,0.25356576862123614,0.5470494417862839,0.4312211295944682,0.5525800811939029,0.6889268695740756,0.5404236577950955,0.6566742949091797,0.5606109597580956,0.20836208879687143,0.4073795562573031
Class A,0.5419968304278923,0.26156299840510366,0.4541332502054581,0.5587171003834469,0.7130620508599017,0.5498742973189545,0.6738940942058019,0.5621728895383242,0.03973652953244791,0.4196517348147008
Class A,0.2551505546751189,0.5470494417862839,0.4551109473743871,0.5621684054362476,0.7208843003029963,0.5450786329909898,0.6746191128143252,0.564151739988029,0.20701874714220397,0.4154072422686924
Class A,0.24247226624405704,0.5470494417862839,0.4327160143962365,0.47523054345375115,0.8319303694017652,0.4490797095686961,0.6578115341009433,0.5456123301080955,0.21825396825396828,0.5526929531107565
Class A,0.5451664025356577,0.25518341307814996,0.44974069770737096,0.5517128970129418,0.7167374220937585,0.541763263009157,0.6706270928820063,0.5607706754555423,0.038271604938271614,0.42621189528579867
Class A,0.23454833597464342,0.5470494417862839,0.4485858814860997,0.5088763955812877,0.7734035276298432,0.5007799071451728,0.669765542175842,0.5460316112789753,0.22588864031817057,0.499701482105573
Class A,0.5103011093502378,0.481658692185008,0.40099753450279135,0.5839589287522444,0.6713001399530327,0.5157418904949199,0.6332436612416988,0.6118931716946169,0.08628597637885566,0.3392085150398877
Class A,0.33438985736925514,0.5374800637958532,0.4117663728851985,0.4903129391076027,0.8425142061927403,0.4219695255106098,0.6416902468365859,0.5883767810486391,0.15312718378756116,0.4940760680111361
