feature,importance
equivalent_diameter,0.35352867365600615
area,0.2921757487357835
perimeter,0.12894197343533606
convex_hull_area,0.11264503393799744
feret_diameter,0.03374530586134819
circularity,0.026765499630034058
solidity,0.0251872646640132
width,0.01320798465969616
length,0.010196364110233225
aspect_ratio,0.0036061513095521497
