weight,length,width,area,perimeter,solidity,convex_hull_area,equivalent_diameter,feret_diameter,aspect_ratio,circularity
340.0,0.7354085603112841,0.14990859232175505,0.4548411516608573,0.42565845995425505,0.3788707059069454,0.4740587317349979,0.558687995242655,0.5351857388600921,0.020898856272583394,0.5380979073507478
340.0,0.7354085603112841,0.14990859232175505,0.4561222537414004,0.4250821182590326,0.3852256809966512,0.474177897574124,0.5599081487877103,0.5357021077358995,0.020898856272583394,0.5426560233578693
340.0,0.1556420233463035,0.6928702010968921,0.45645500752855445,0.43295311990852475,0.38842681699934056,0.47392821676833596,0.5602248765164942,0.5357021077358995,0.7702690596350823,0.5191222251305855
325.0,0.1653696498054475,0.6764168190127972,0.4150687552512707,0.3979990696511995,0.3183623207127839,0.44505036175344015,0.5201945267060802,0.5145818289646223,0.7269146559202838,0.5369361720791185
325.0,0.1634241245136187,0.6764168190127972,0.40966982505469635,0.3854474195885456,0.38720654728172654,0.4277996878989927,0.5148741811774632,0.5140128432413306,0.7320636481206254,0.5652713538348036
325.0,0.1653696498054475,0.6764168190127972,0.41106739096074335,0.39504744308926015,0.34578616874903556,0.4362434387856433,0.5162536610798553,0.5145818289646223,0.7269146559202838,0.5371985258161508
375.0,0.15953307392996108,0.8043875685557588,0.6071758354199768,0.5020871150557866,0.6488285419486135,0.5691814441764789,0.6962514004100434,0.6955871828529453,0.8725448410102156,0.606882915857666
375.0,0.16147859922178986,0.8043875685557588,0.5850893027976274,0.5111807214159958,0.5348038945063927,0.5708894878706199,0.677166534719076,0.6955871828529453,0.8664230799241304,0.5401602295977995
375.0,0.14007782101167315,0.7989031078610603,0.5312996531041769,0.5278776386278448,0.4737595043280183,0.5312526599517662,0.6295304116014949,0.6865289045537072,0.932481261385015,0.40018874083282696
800.0,0.9708171206225682,0.27605118829981723,0.9096573467876781,0.6546287462441784,0.5203860555476809,0.8838133068520357,0.9351867371507109,0.8629125812796575,0.034851384155819246,0.6522452965690141
800.0,0.9708171206225682,0.27605118829981723,0.9123526524636258,0.652323383775882,0.5361780469219641,0.88190097886225,0.9371578212854429,0.8621208145829701,0.034851384155819246,0.6621668923062406
800.0,0.2918287937743191,0.9213893967093236,0.9191325108768895,0.657819101553871,0.5335375103538005,0.8891020002837282,0.9421054059337078,0.8736286612882364,0.6643384806851226,0.656672096744097
740.0,1.0,0.2705667276051188,1.0,0.7173001128122507,0.5421285226873538,0.9634558093346575,0.9999999999999999,0.9242016919350232,0.030541524391667033,0.608606340532731
740.0,0.2840466926070039,0.9414990859232175,0.9623405901388415,0.6916084742692536,0.4309408179395402,0.9614640374521208,0.973290065905536,0.9242016919350232,0.6923579545999364,0.6256029867518377
740.0,0.972762645914397,0.26691042047532,0.9241654119075944,0.6699921789842103,0.40789381994543783,0.9311221449851044,0.9457684582347593,0.8842868336536193,0.03215734902658185,0.6312664353429035
675.0,0.22178988326848248,0.882998171846435,0.7720220615760882,0.5991651537288818,0.6550979465931066,0.7199319052347851,0.8311357329859342,0.8156981557488957,0.7754073077949363,0.6036039454493284
675.0,0.22178988326848248,0.8756855575868374,0.7729537721801196,0.595229653774948,0.6692470264166972,0.7175145410696553,0.831864059223344,0.8073494667845887,0.7692575934618826,0.6158322068625991
675.0,0.2198443579766537,0.8738574040219378,0.7638529561014566,0.590479082631628,0.6661948831093039,0.7098538799829763,0.8247348479229478,0.8016520009138616,0.772282588079763,0.6149949608027349
780.0,0.9844357976653697,0.20658135283363802,0.7847415750900515,0.6349512400885531,0.3471009923039645,0.8103958008228117,0.8410487095932632,0.886816027679518,0.014704668226878922,0.5286595392200591
780.0,0.2587548638132296,0.9360146252285193,0.9144573201673751,0.6812343370247671,0.4633711664229012,0.9049510568875019,0.9386953087517732,0.901512738375991,0.7369190956519711,0.589610636775774
780.0,0.9941634241245136,0.2449725776965265,0.9161210891031453,0.6761051978105292,0.46023040434551454,0.9074932614555256,0.9399096856417527,0.9018571146263122,0.024224448790219455,0.6047890184630936
735.0,0.2490272373540856,0.8884826325411335,0.8458767646349274,0.6563697658130816,0.49562579759128544,0.8295758263583488,0.8878241243044672,0.8358691745487209,0.720075253083286,0.5602042756443154
735.0,0.9571984435797667,0.23583180987202926,0.8725303429859661,0.6582965565613428,0.5183100948050634,0.848920414243155,0.907787797580533,0.8472220152858577,0.02507673666948558,0.5917610914388473
735.0,0.2509727626459144,0.9177330895795248,0.8973121812842633,0.6726181894870162,0.535952266446508,0.867657823804795,0.9261279086091166,0.8705464361522285,0.7388761689209757,0.5886747107339786
675.0,0.25486381322957197,0.8884826325411335,0.780864993469707,0.6288671834782023,0.31660041035765163,0.8150262448574266,0.838034314555215,0.8275966849527666,0.7083057449983162,0.5384673301173871
675.0,0.933852140077821,0.23948811700182818,0.7469740202480679,0.6295833676480997,0.2631784673200044,0.7955227691871187,0.8114227894627356,0.8139292401912489,0.028317283410434407,0.4879520643215022
675.0,0.9416342412451362,0.24131627056672764,0.7860226771705945,0.6259854819685868,0.33732104705828325,0.8144077174067244,0.8420435767124684,0.8247933604375527,0.028078758362796427,0.5532734998374037
605.0,0.8852140077821011,0.2120658135283364,0.7295210841118385,0.6049575256817743,0.4602711700800919,0.7263101149099163,0.7975325142323578,0.7656213685966115,0.025142159162390404,0.5240468489036932
605.0,0.8813229571984436,0.21023765996343693,0.7134407573476196,0.5953864616601896,0.429135362912763,0.718297630869627,0.784618625609878,0.7580644119741441,0.024984023650969023,0.5243656244415565
605.0,0.22178988326848248,0.8336380255941499,0.7342545067341046,0.5922660309052141,0.49180626241225855,0.723166406582494,0.8013125159560807,0.7642983987246262,0.7338967360468241,0.5645129896339219
680.0,0.9280155642023347,0.26142595978062155,0.7899158964802968,0.600824255586784,0.5378687694762303,0.7650163143708327,0.8450629746491584,0.8028612872648987,0.03513964557814704,0.6261818212361524
680.0,0.9280155642023347,0.26325411334552107,0.8014790905838998,0.593867205428473,0.5525856180214523,0.772279755993758,0.8539959674009553,0.8028612872648987,0.03566052302165704,0.6633601844541474
680.0,0.2801556420233463,0.8738574040219378,0.7972531174870434,0.5987166618496575,0.528894917541956,0.7742715278762945,0.8507372643829173,0.8025513690644343,0.6504912354047838,0.6431858341751796
665.0,0.8871595330739299,0.20840950639853748,0.6373233285361328,0.5510831124600906,0.391104814160784,0.6524329692154915,0.7218845228846845,0.7493904822131924,0.023866792269455983,0.5200729384681976
665.0,0.8929961089494165,0.21389396709323585,0.6707734029897927,0.590985502260168,0.4438011662158088,0.6730883813306852,0.7497906319782129,0.7569855319315456,0.024916322195357346,0.47004212206913765
665.0,0.2256809338521401,0.8409506398537477,0.6744752888718815,0.5670638445068281,0.47028631594627024,0.6705518513264292,0.7528457356329555,0.7573786605151102,0.731361614446762,0.5379219985951037
600.0,0.18482490272373542,0.8263254113345522,0.671147751000341,0.5297754679894828,0.745452616823433,0.6085742658533125,0.7500998702017451,0.7271686298661201,0.8192286254975341,0.6380032807574151
600.0,0.18287937743190663,0.8281535648994516,0.6766381884883828,0.5316443342228736,0.7559986124745968,0.6114172223010356,0.7546277437730621,0.7302610836699236,0.8263462066380012,0.6419281807376557
600.0,0.8793774319066148,0.17184643510054845,0.6733522448402365,0.5318131395769927,0.7463908740487901,0.6103731025677401,0.7519195918074105,0.7289038870594978,0.013717069652413816,0.635747036563917
660.0,0.29961089494163423,0.8756855575868374,0.7516824863362976,0.6216954019149925,0.4756781675939479,0.7439580082281174,0.8151481202526379,0.8070864143017077,0.6195964039406653,0.5143238845245605
660.0,0.29766536964980544,0.8738574040219378,0.7485046876689765,0.6203039916013531,0.4798398276265101,0.7398496240601504,0.8126348662120589,0.803742040279685,0.6214184608952728,0.513182657338687
660.0,0.29571984435797666,0.8738574040219378,0.7460090342653212,0.6250545618323939,0.4700103384987653,0.7398836714427578,0.8106581500070381,0.8066955846137999,0.6245334010212918,0.4977040236255169
550.0,0.8929961089494165,0.21023765996343693,0.7251370529660841,0.5764081760055193,0.7438850970456157,0.657534402042843,0.7940229233776731,0.7505039593735988,0.023839253583353606,0.5934345439488958
550.0,0.8949416342412453,0.2120658135283364,0.7332562453726426,0.5769845176178074,0.7596746796421177,0.6615009221166123,0.8005161267566742,0.7536067427271506,0.024188491056230776,0.6046948291280866
550.0,0.22373540856031127,0.8427787934186473,0.7391792627839846,0.6114900758300392,0.7863749148861747,0.6611774719818414,0.8052351493582331,0.7545188892067459,0.7372100179669051,0.5217569109005463
600.0,0.8015564202334631,0.1956124314442413,0.5764959362443745,0.47080087287639466,0.663493462139634,0.5381359058022415,0.6696685064369342,0.6148736356431869,0.02883961137503216,0.6456046190851962
600.0,0.20428015564202334,0.7550274223034735,0.5742831235598,0.4495921138495203,0.671070008943635,0.5347084692864236,0.667731027634272,0.6151211896221543,0.7056236849817258,0.7109800145446178
600.0,0.8035019455252919,0.1956124314442413,0.5771531249740036,0.4681868607547453,0.6613610829244085,0.5391346290253937,0.6702433904346449,0.6172105099165105,0.02862277067666509,0.6552606143210659
495.0,0.867704280155642,0.19195612431444245,0.5800979959903168,0.5100689990373479,0.7412678608953414,0.5273088381330685,0.6728164685482193,0.7087219746262882,0.020832610315096048,0.5343217527140484
495.0,0.20233463035019456,0.8190127970749543,0.600462527764144,0.5058947703356609,0.8236236404068165,0.5309178606894595,0.6904784329580876,0.7113636505172946,0.7669339798076321,0.5832875273409569
495.0,0.20428015564202334,0.8190127970749543,0.5970850768245306,0.5104066116530792,0.7950644206857054,0.5329607036459072,0.6875648986459323,0.710865636989643,0.7621697871119225,0.5639933233497348
550.0,0.23735408560311283,0.7385740402193784,0.5135971516275819,0.4158317038477128,0.6032423643519862,0.4906625053199035,0.6134715364777915,0.5845490628169551,0.6238358692202144,0.6985953085754529
550.0,0.23929961089494162,0.7385740402193784,0.5235797652422032,0.41664677304667114,0.6147789466577689,0.4979486451979004,0.6225515051133185,0.5846682027079265,0.6202452846225055,0.717701086910575
550.0,0.23735408560311283,0.736745886654479,0.4996048548777546,0.42888977494879305,0.5263955488465162,0.49104837565612147,0.6006366897806047,0.5819879704222292,0.6223618397537866,0.6239252842263575
640.0,0.20428015564202334,0.8464351005484461,0.6680780973138449,0.5817230907117088,0.4613875639827305,0.6663980706483189,0.7475621491133521,0.7572863240618452,0.7864038308820067,0.48928751744472077
640.0,0.20428015564202334,0.8446069469835467,0.6546265254681429,0.5740208935040563,0.4563829371018211,0.6544758121719393,0.7363882171776696,0.7544739557746715,0.7847882279640012,0.4878010835143062
640.0,0.20428015564202334,0.8446069469835467,0.6666805314077981,0.5750047679741992,0.47331975332135734,0.6623123847354234,0.7464052756198388,0.7555519890913275,0.7847882279640012,0.5044273811014125
650.0,0.178988326848249,0.793418647166362,0.6336630368774385,0.48616430669457494,0.6024573917241822,0.6030131933607604,0.718797260556108,0.6771821099927001,0.8042247191665931,0.706118014377222
650.0,0.18287937743190663,0.7915904936014626,0.6362834729512765,0.481105086561378,0.6074279781056751,0.6044431834302738,0.7210081480466674,0.6749879326487856,0.7918929877841463,0.7277620613892385
650.0,0.178988326848249,0.7897623400365631,0.6180818407939506,0.48671168526155,0.5631592362204247,0.5964250248262165,0.7055787761847846,0.6718707071864397,0.8007373811606542,0.6748488754066543
720.0,0.7957198443579767,0.1809872029250457,0.539052816344866,0.5350903795441617,0.2932884171918344,0.575633423180593,0.6365023647801477,0.6315231360258736,0.02473942319255426,0.39551673486781025
720.0,0.19260700389105057,0.7531992687385741,0.5537938091157899,0.5457442022356054,0.322727213705599,0.5842303872889771,0.6496577656101595,0.6347538737350874,0.731388299937289,0.39415420050163685
720.0,0.19260700389105057,0.7550274223034735,0.5565639843938475,0.5383796196341117,0.3288089361773858,0.5857114484324017,0.6521155471449219,0.6347538737350874,0.733060590676979,0.4172224217520314
850.0,0.2918287937743191,0.8793418647166362,0.7346787678127262,0.6024543922430765,0.49659035806891394,0.7224116896013619,0.8016508523630962,0.8026999325935528,0.6347118163643979,0.5382862525941982
850.0,0.2898832684824903,0.8811700182815356,0.7316340706602666,0.6060522827327899,0.4947665379057171,0.7199262306710171,0.7992210842119624,0.8056222154898823,0.639223136093739,0.5244077885728488
850.0,0.2879377431906615,0.8738574040219378,0.7184403829996089,0.6082587621624531,0.47897778872218044,0.7110228401191658,0.7886458615912003,0.794438255073889,0.6372763379004607,0.4990534937575287
655.0,0.28599221789883267,0.7330895795246801,0.5160428919631641,0.4840277490827905,0.36030798161915056,0.5385331252659952,0.6157019816815851,0.5861446576576689,0.5399911885659165,0.48928460741414737
655.0,0.2840466926070039,0.7312614259597806,0.5086890332670599,0.48762563841142087,0.3282330968815308,0.5376138459355937,0.6089838925730621,0.5987237968396658,0.5415065903980814,0.46530948526656524
655.0,0.772373540856031,0.2705667276051188,0.5162175877014201,0.46773836688509324,0.4053543556260948,0.5297886224996453,0.6158611530952941,0.5730047630037728,0.05720197055752087,0.5367324298375294
805.0,0.33852140077821014,0.8208409506398537,0.6965867780282675,0.5847905635665513,0.16461956339203887,0.7707362746488864,0.7709606698615893,0.7114670419477575,0.5281437936964253,0.52594894508223
805.0,0.3424124513618677,0.8208409506398537,0.6995898809573327,0.5861120518964429,0.16232734121890902,0.77455525606469,0.7734036452158529,0.7114670419477575,0.5232690201397364,0.5271655172669217
805.0,0.33073929961089493,0.8098720292504571,0.6641516026254273,0.5775658259277676,0.12189384427947125,0.7482025819265143,0.7443095088082864,0.6944975643023729,0.5310451052054984,0.4937813899667901
