feature,importance
convex_hull_area,0.7883098407261262
area,0.1131820774711975
equivalent_diameter,0.09850808180267641
length,0.0
width,0.0
perimeter,0.0
solidity,0.0
feret_diameter,0.0
aspect_ratio,0.0
circularity,0.0
