feature,importance
convex_hull_area,0.22874787890871218
equivalent_diameter,0.17615409014511346
area,0.17149582493988244
perimeter,0.12179282888620303
feret_diameter,0.10013841873312358
length,0.04627408241289121
circularity,0.04084570424759582
solidity,0.04076824900295194
aspect_ratio,0.039011307827062566
width,0.03477161489646375
