seed,rmse_rf,rmse_gb,rmse_ens,mae_rf,mae_gb,mae_ens,r2_rf,r2_gb,r2_ens
42,165.7371322574654,152.18696060245563,139.75875443815016,142.0595238095238,119.361873548269,107.99646610702881,0.17431842787655405,0.3038099064126113,0.4128744299057001
7,165.68049043479527,151.75073064312397,139.52726329454478,143.4952380952381,118.99346471162309,108.49827794789839,0.17488269632852127,0.30779531636346136,0.4148178045226594
21,164.43322545167226,152.0729773389469,139.3800828033413,141.25535714285712,119.26627025073842,107.63838984279616,0.18725912236856923,0.3048523650009033,0.4160517135831132
99,164.4518085754912,151.7350307450251,138.54304071458154,142.05892857142857,118.98007627210117,107.22572107466142,0.18707541110517556,0.30793853782646097,0.4230444141225662
123,162.74710216588454,152.16294289968803,139.0202937762499,140.55535714285716,119.34176671687126,107.58130677009488,0.20384160156250009,0.3040296304579633,0.4190625744314742
